title,price_gbp,price_inr,rating,in_stock,category
Glory over Everything: Beyond The Kitchen House,45.84,4836.120000000001,3,True,Historical Fiction
"Love, Lies and Spies",20.55,2168.025,2,True,Historical Fiction
A Paris Apartment,39.01,4115.554999999999,4,True,Historical Fiction
Lilac Girls,17.28,1823.0400000000002,2,True,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,1753.41,3,True,Historical Fiction
The Invention of Wings,37.34,3939.3700000000003,1,True,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,3478.335,4,True,Historical Fiction
The Passion of Dolssa,28.32,2987.76,5,True,Historical Fiction
Girl With a Pearl Earring,26.77,2824.235,1,True,Historical Fiction
Voyager (Outlander #3),21.07,2222.885,5,True,Historical Fiction
The Red Tent,35.66,3762.1299999999997,5,True,Historical Fiction
The Last Painting of Sara de Vos,55.55,5860.525,2,True,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,5225.415,1,True,Historical Fiction
Girl in the Blue Coat,46.83,4940.565,2,True,Historical Fiction
Between Shades of Gray,20.79,2193.345,5,True,Historical Fiction
While You Were Mine,41.32,4359.26,5,True,Historical Fiction
The Secret Healer,34.56,3646.0800000000004,3,True,Historical Fiction
Starlark,25.83,2725.0649999999996,3,True,Historical Fiction
Lost Among the Living,27.7,2922.35,4,True,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,1790.3349999999998,5,True,Historical Fiction
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.595,5,True,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1717.5400000000002,1,True,Sequential Art
This One Summer,19.49,2056.1949999999997,4,True,Sequential Art
The Nameless City (The Nameless City #1),38.16,4025.8799999999997,4,True,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,5384.72,2,True,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,5317.2,3,True,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.855,5,True,Sequential Art
"Pop Gun War, Volume 1: Gift",18.97,2001.3349999999998,1,True,Sequential Art
Patience,10.16,1071.88,3,True,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1628.9199999999998,4,True,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,5107.254999999999,1,True,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,4949.004999999999,2,True,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,4811.855,3,True,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2101.5600000000004,2,True,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,3077.4350000000004,2,True,Sequential Art
I am a Hero Omnibus Volume 1,54.63,5763.465,3,True,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2332.605,2,True,Sequential Art
Danganronpa Volume 1,51.99,5484.945000000001,4,True,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,3873.96,4,True,Sequential Art
Camp Midnight,17.08,1801.9399999999998,4,True,Sequential Art
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,4000.5600000000004,2,True,Sequential Art
The Shadow Hero (The Shadow Hero),33.14,3496.27,1,True,Sequential Art
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4390.91,4,True,Sequential Art
Batman: The Long Halloween (Batman),36.5,3850.75,2,True,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,1622.5900000000001,5,True,Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,3939.3700000000003,4,True,Sequential Art
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,5686.45,1,True,Sequential Art
Through the Woods,25.38,2677.5899999999997,2,True,Sequential Art
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,1254.395,5,True,Sequential Art
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,3737.865,4,True,Sequential Art
Robin War,47.82,5045.01,3,True,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2688.14,2,True,Sequential Art
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,4050.145,2,True,Sequential Art
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,5434.304999999999,2,True,Sequential Art
El Deafo,57.62,6078.91,5,True,Sequential Art
Batman: Europa,32.01,3377.055,2,True,Sequential Art
Art Ops Vol. 1,48.8,5148.4,3,True,Sequential Art
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,1149.95,2,True,Sequential Art
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,3581.7250000000004,4,True,Sequential Art
Roller Girl,14.1,1487.55,5,True,Sequential Art
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,2064.635,1,True,Sequential Art
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,2211.28,4,True,Sequential Art
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3839.145,3,True,Sequential Art
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1722.8149999999998,1,True,Sequential Art
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,5529.254999999999,1,True,Sequential Art
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2941.3399999999997,2,True,Sequential Art
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,5321.42,4,True,Sequential Art
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,1520.255,3,True,Sequential Art
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5860.525,5,True,Sequential Art
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,2275.635,5,True,Sequential Art
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,4602.965,3,True,Sequential Art
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,4128.215,1,True,Sequential Art
Original Fake,31.45,3317.975,3,True,Sequential Art
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,4506.96,1,True,Sequential Art
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,4765.435,2,True,Sequential Art
"Black Butler, Vol. 1 (Black Butler #1)",49.31,5202.205,1,True,Sequential Art
Awkward,38.02,4011.11,2,True,Sequential Art
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,5782.455,1,True,Sequential Art
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,1239.625,3,True,Sequential Art
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,1228.02,5,True,Sequential Art
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,1952.805,4,True,Sequential Art
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,3852.86,2,True,Sequential Art
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,5709.66,3,True,Sequential Art
The Complete Maus (Maus #1-2),10.64,1122.52,3,True,Sequential Art
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,4443.66,3,True,Sequential Art
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,3004.64,1,True,Sequential Art
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,4954.28,5,True,Sequential Art
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,2290.405,4,True,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3151.2850000000003,3,True,Sequential Art
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4155.645,4,True,Sequential Art
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,4772.820000000001,3,True,Sequential Art
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,5988.179999999999,4,True,Sequential Art
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,4249.54,5,True,Sequential Art
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,3655.575,5,True,Sequential Art
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,6019.83,4,True,Sequential Art
The Secret Garden,15.08,1590.94,4,True,Classics
The Metamorphosis,28.58,3015.1899999999996,1,True,Classics
The Pilgrim's Progress,50.26,5302.429999999999,2,True,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,1563.51,2,True,Classics
Little Women (Little Women #1),28.07,2961.385,4,True,Classics
Gone with the Wind,32.49,3427.695,3,True,Classics
Candide,58.63,6185.465,3,True,Classics
Animal Farm,57.22,6036.71,3,True,Classics
Wuthering Heights,17.73,1870.515,3,True,Classics
The Picture of Dorian Gray,29.7,3133.35,2,True,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,2825.29,4,True,Classics
Beowulf,38.35,4045.925,2,True,Classics
And Then There Were None,35.01,3693.555,2,True,Classics
The Story of Hong Gildong,43.19,4556.545,4,True,Classics
The Little Prince,45.42,4791.81,2,True,Classics
Sense and Sensibility,37.46,3952.03,1,True,Classics
Of Mice and Men,47.11,4970.105,2,True,Classics
Emma,32.93,3474.115,2,True,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,5858.415,1,True,Classics
